id,blind_screen,text_status,n_ours,n_blind,matched,missed,omission_candidates
2-s2.0-33645965882,INCLUDE,ok,1,1,1,0,0
2-s2.0-42649109723,INCLUDE,ok,1,1,0,1,1
2-s2.0-78649725192,INCLUDE,ok,1,1,1,0,0
2-s2.0-84863599686,INCLUDE,ok,3,2,2,1,0
2-s2.0-84883291462,INCLUDE,ok,1,1,0,1,1
2-s2.0-84903975957,INCLUDE,ok,2,2,2,0,0
2-s2.0-84908440181,INCLUDE,ok,2,2,2,0,0
2-s2.0-84929523850,EXCLUDE,wrong_paper,2,0,0,2,0
2-s2.0-84964787366,INCLUDE,ok,2,2,2,0,0
2-s2.0-84985993999,INCLUDE,ok,1,1,1,0,0
2-s2.0-85021701404,INCLUDE,ok,1,1,1,0,0
2-s2.0-85037352356,INCLUDE,ok,1,2,1,0,0
2-s2.0-85038621544,INCLUDE,ok,3,3,3,0,0
2-s2.0-85041175995,INCLUDE,ok,1,1,1,0,0
2-s2.0-85043684270,INCLUDE,ok,2,2,2,0,0
2-s2.0-85046831961,INCLUDE,ok,1,1,1,0,0
2-s2.0-85046956316,INCLUDE,ok,2,2,2,0,0
2-s2.0-85047794238,INCLUDE,ok,1,3,1,0,0
2-s2.0-85051037754,INCLUDE,ok,2,2,2,0,0
2-s2.0-85054205007,INCLUDE,ok,1,2,1,0,0
2-s2.0-85054363956,INCLUDE,ok,2,2,2,0,0
2-s2.0-85055079422,INCLUDE,ok,1,1,1,0,0
2-s2.0-85055756722,INCLUDE,ok,3,3,2,1,1
2-s2.0-85056331134,INCLUDE,ok,1,1,1,0,0
2-s2.0-85059494932,INCLUDE,ok,2,3,2,0,1
2-s2.0-85060013655,INCLUDE,ok,1,4,1,0,0
2-s2.0-85060025053,INCLUDE,ok,1,3,1,0,0
2-s2.0-85060549676,INCLUDE,ok,6,11,5,1,2
2-s2.0-85065015834,INCLUDE,ok,1,2,1,0,0
2-s2.0-85065550941,EXCLUDE,ok,1,0,0,1,0
2-s2.0-85065905229,INCLUDE,ok,1,1,1,0,0
2-s2.0-85066887935,INCLUDE,ok,1,3,1,0,2
2-s2.0-85066894147,INCLUDE,ok,3,1,1,2,0
2-s2.0-85066941307,INCLUDE,ok,1,3,1,0,0
2-s2.0-85067547811,INCLUDE,ok,1,2,1,0,1
2-s2.0-85069463611,INCLUDE,ok,2,2,2,0,0
2-s2.0-85072114698,INCLUDE,ok,1,2,1,0,1
2-s2.0-85073061780,INCLUDE,ok,1,2,1,0,1
2-s2.0-85074511992,INCLUDE,ok,3,6,3,0,2
2-s2.0-85074596916,INCLUDE,ok,2,5,2,0,2
2-s2.0-85075076652,INCLUDE,ok,1,1,1,0,0
2-s2.0-85076877757,INCLUDE,ok,2,2,2,0,0
2-s2.0-85078014559,INCLUDE,ok,2,2,2,0,0
2-s2.0-85079874634,EXCLUDE,ok,0,0,0,0,0
2-s2.0-85081743293,INCLUDE,ok,3,3,3,0,0
2-s2.0-85083041268,INCLUDE,ok,1,2,1,0,1
2-s2.0-85083060520,INCLUDE,ok,3,3,3,0,0
2-s2.0-85083323285,INCLUDE,ok,2,3,2,0,0
2-s2.0-85083635352,INCLUDE,ok,8,0,0,8,0
2-s2.0-85083965254,INCLUDE,ok,1,4,1,0,3
2-s2.0-85084031148,INCLUDE,ok,1,3,1,0,1
2-s2.0-85085201199,INCLUDE,ok,2,2,2,0,0
2-s2.0-85085263461,INCLUDE,ok,3,5,3,0,0
2-s2.0-85085573221,INCLUDE,ok,1,2,1,0,0
2-s2.0-85086031086,INCLUDE,ok,4,4,4,0,0
2-s2.0-85086037795,INCLUDE,ok,2,4,2,0,2
2-s2.0-85086160482,INCLUDE,ok,2,4,2,0,2
2-s2.0-85086906408,INCLUDE,ok,1,2,1,0,0
2-s2.0-85087848582,INCLUDE,ok,1,1,1,0,0
2-s2.0-85088839117,INCLUDE,ok,1,1,1,0,0
2-s2.0-85088969117,INCLUDE,ok,4,4,4,0,0
2-s2.0-85089119559,INCLUDE,ok,4,4,4,0,0
2-s2.0-85089419252,INCLUDE,ok,3,1,1,2,0
2-s2.0-85089426034,INCLUDE,ok,1,2,1,0,1
2-s2.0-85089622030,INCLUDE,ok,1,2,1,0,1
2-s2.0-85089627303,INCLUDE,ok,1,1,1,0,0
2-s2.0-85090181268,INCLUDE,ok,1,1,1,0,0
2-s2.0-85090430198,INCLUDE,ok,1,1,1,0,0
