run_utc	name	total_results	n_saved	query
2026-06-20T07:36:41Z	strict_v2	20409	25	TITLE-ABS-KEY ( ( misinformation OR disinformation OR "fake news" OR "false news" OR "unreliable news" OR "untrustworthy websites" OR "low-quality news" OR "junk news" ) AND ( exposure OR consumption OR consume* OR reach OR audience OR "news diet" OR "information diet" OR prevalence OR circulation OR sharing OR shared OR spread OR diffusion OR dissemination OR quantif* OR "how much" OR supersharer* OR "super-sharer*" OR traffic OR visits OR engagement OR scale ) ) AND NOT TITLE ( detection OR classifier OR classification OR "deep learning" OR "neural network" OR transformer )
2026-06-20T17:56:55Z	sharing_intention_noise	223	25	TITLE-ABS-KEY ( ( misinformation OR disinformation OR "fake news" OR "false news" OR "unreliable news" OR "untrustworthy websites" OR "low-quality news" OR "junk news" ) AND ( sharing OR shared OR spread OR diffusion OR dissemination OR supersharer* ) AND ( "sharing intention*" OR "intention to share" OR "willingness to share" OR "would you share" OR "intend to share" OR "self-reported sharing" OR vignette OR hypothetical ) ) AND NOT TITLE ( detection OR classifier OR classification OR "deep learning" OR "neural network" OR transformer )
2026-06-20T17:56:56Z	sharing_behavioral_signal	2522	25	TITLE-ABS-KEY ( ( misinformation OR disinformation OR "fake news" OR "false news" OR "unreliable news" OR "untrustworthy websites" OR "low-quality news" OR "junk news" ) AND ( sharing OR shared OR spread OR diffusion OR dissemination OR supersharer* ) AND ( "digital trace*" OR "trace data" OR "platform data" OR Twitter OR Facebook OR "real-world" OR observational OR "behavioral data" OR "behavioural data" OR "URL*" ) ) AND NOT TITLE ( detection OR classifier OR classification OR "deep learning" OR "neural network" OR transformer )
2026-06-21T12:29:16Z	conc_supp	1026	25	TITLE-ABS-KEY ( ( misinformation OR disinformation OR "fake news" OR "false news" OR "unreliable news" OR "untrustworthy websites" OR "low-quality news" OR "junk news" ) AND ( concentration OR Gini OR skewed OR "long tail" OR inequality OR "top 1%" OR "top 10%" OR superspreader* OR superconsumer* OR "small minority" OR "small number of" OR disproportionate OR "heavy users" ) ) AND NOT TITLE ( detection OR classifier OR classification OR "deep learning" OR "neural network" OR transformer )
2026-06-21T12:29:17Z	conc_missed	497	25	TITLE-ABS-KEY ( ( misinformation OR disinformation OR "fake news" OR "false news" OR "unreliable news" OR "untrustworthy websites" OR "low-quality news" OR "junk news" ) AND ( concentration OR Gini OR skewed OR "long tail" OR inequality OR "top 1%" OR "top 10%" OR superspreader* OR superconsumer* OR "small minority" OR "small number of" OR disproportionate OR "heavy users" ) AND NOT ( exposure OR consumption OR consume* OR reach OR audience OR "news diet" OR "information diet" OR prevalence OR circulation OR sharing OR shared OR spread OR diffusion OR dissemination OR quantif* OR "how much" OR supersharer* OR "super-sharer*" OR traffic OR visits OR engagement OR scale ) ) AND NOT TITLE ( detection OR classifier OR classification OR "deep learning" OR "neural network" OR transformer )
2026-09-04T11:56:54Z	behavioural_arm_20260904	230	230	TITLE-ABS-KEY ( ( misinformation OR disinformation OR "fake news" OR "false news" OR "unreliable news" OR "junk news" OR "low-quality news" OR "news quality" OR untrustworthy ) AND ( "web tracking" OR "browsing data" OR "browsing history" OR clickstream OR "digital trace" OR "trace data" OR "donated data" OR "data donation" OR "web panel" OR "passive metering" OR "browser extension" OR "server log" OR "media diet" OR "URL-level" OR "platform data" OR "panel data" OR "behavioral data" OR "behavioural data" ) )
