order,id,journal,title,pdf,your_decision,your_note
34,2-s2.0-84963854363,Annals of Pharmacotherapy,A Collaborative Assessment Among 11 Pharmaceutical Companies of Misinformation in Commonly Used Online Drug Information Compendia,papers/C34.pdf,EXCLUDE,no denominator result
35,2-s2.0-86000736431,Medien & Kommunikationswissenschaft,Accomplice or Corrective? Google and YouTube’s Role in Spreading Conspiracy Theories about Chancellor Candidate Annalena Baerbock during the 2021 German Federal Election,papers/C35.pdf,EXCLUDE,
36,2-s2.0-85187889353,Frontiers in Communication,Unveiling misinformation on YouTube: examining the content of COVID-19 vaccination misinformation videos in Switzerland,papers/C36.pdf,EXCLUDE,Only looks at complettely false and partially false information.
37,2-s2.0-85189757456,Journal of the American Heart Association,"Statin Twitter: Human and Automated Bot Contributions, 2010 to 2022",papers/C37.pdf,EXCLUDE,I do not understand if statin skepticism = misinformation? Not necessarily?
38,2-s2.0-105032159703,Frontiers in Public Health,Quality evaluation of scar management information on TikTok: a cross-sectional study,papers/C38.pdf,INCLUDE,
39,2-s2.0-105038578898,BMC Public Health,Exposure to health misinformation on social media across key health domains: a systematic review and meta-analysis of survey-based studies,papers/C39.pdf,INCLUDE,"Meta-analysis - not own data, but does mention a (reported) prevalence metric (59%)"
40,2-s2.0-85077296908,Journal of Bone and Joint Surgery,Online Direct-to-Consumer Advertising of Stem Cell Therapy for Musculoskeletal Injury and Disease: Misinformation and Violation of Ethical and Legal Advertising Parameters,papers/C40.pdf,INCLUDE,websites containing at least one statement of misinformation. 
41,W3011186656,Cureus,Coronavirus Goes Viral: Quantifying the COVID-19 Misinformation Epidemic on Twitter,papers/C41.pdf,INCLUDE,24.8%
42,2-s2.0-85171477190,Social Network Analysis and Mining,Analyzing the changing landscape of the Covid-19 vaccine debate on Twitter,papers/C42.pdf,EXCLUDE,trend over time
43,2-s2.0-85091698994,Companion Proceedings of the Web Conference 2020,The Diffusion of Mainstream and Disinformation News on Twitter: The Case of Italy and France,papers/C43.pdf,EXCLUDE,no percentage metric found
44,2-s2.0-85128357498,Frontiers in Political Science,COVID-19 Induced Misinformation on YouTube: An Analysis of User Commentary,papers/C44.pdf,INCLUDE,"Overall, the classifier categorized about 21% of the comments and 15% of the replies as fake"
45,2-s2.0-85217829893,Comunicación y Medios,“Vendepatria” and “Anti Vaccine”: Opinocracy and disinformation on WhatsApp in the 2023 constitutional process in Chile,papers/C45.pdf,INCLUDE,Table 3: how much is disinforrmation in the progresista versus conservador group chat
46,2-s2.0-105031357857,Clinical Psychology in Europe,Insufficient Quality of Mental Health Information on German-Speaking TikTok: A Content Analysis,papers/C46.pdf,INCLUDE,incorrect/misleading = misinformation? I said YES
47,2-s2.0-85184568825,PNAS Nexus,Perceived experts are prevalent and influential within an antivaccine community on Twitter,papers/C47.pdf,INCLUDE,"metric available for the sharing of low-quality links. In the description the study mentions that this ""low quality source"" is commonly used as a proxy forr misinformation sharing, so I presume it is applicable here. "
48,2-s2.0-85085201199,BMJ Global Health,YouTube as a source of information on COVID-19: A pandemic of misinformation?,papers/C48.pdf,EXCLUDE,"Quality, and non-factual versus factual score"
49,2-s2.0-85215939792,AIMS Public Health,Descriptive analysis of TikTok content on vaccination in Arabic,papers/C49.pdf,EXCLUDE,No percentage metric found
50,2-s2.0-85096102360,Journal of Medical Internet Research,Associations between COVID-19 misinformation exposure and belief with COVID-19 knowledge and preventive behaviors: cross-sectional online study,papers/C50.pdf,INCLUDE,
