study_id,text_kind,text_bytes,n_estimates,path
2-s2.0-84985993999,full_text,44332,1,data/fulltext/v2txt/2-s2.0-84985993999.txt
2-s2.0-85021701404,full_text,39310,1,data/fulltext/v2txt/2-s2.0-85021701404.txt
2-s2.0-85037352356,full_text,42636,1,data/fulltext/v2txt/2-s2.0-85037352356.txt
2-s2.0-85038621544,full_text,144686,3,data/fulltext/txt/2-s2.0-85038621544.txt
2-s2.0-85041175995,full_text,57960,1,data/fulltext/v2txt/2-s2.0-85041175995.txt
2-s2.0-85043684270,full_text,94110,2,data/fulltext/v2txt/2-s2.0-85043684270.txt
2-s2.0-85046831961,full_text,34169,1,data/fulltext/v2txt/2-s2.0-85046831961.txt
2-s2.0-85047794238,full_text,117656,2,data/fulltext/v2txt/2-s2.0-85047794238.txt
2-s2.0-85051037754,full_text,30725,2,data/fulltext/v2txt/2-s2.0-85051037754.txt
2-s2.0-85054363956,full_text,45370,2,data/fulltext/v2txt/2-s2.0-85054363956.txt
2-s2.0-85055079422,full_text,49569,1,data/fulltext/v2txt/2-s2.0-85055079422.txt
2-s2.0-85055756722,full_text,70315,3,data/fulltext/v2txt/2-s2.0-85055756722.txt
2-s2.0-85056331134,full_text,62475,1,data/fulltext/v2txt/2-s2.0-85056331134.txt
2-s2.0-85059494932,full_text,145430,2,data/fulltext/v2txt/2-s2.0-85059494932.txt
2-s2.0-85060013655,full_text,68607,1,data/fulltext/v2txt/2-s2.0-85060013655.txt
2-s2.0-85060025053,full_text,60178,4,data/fulltext/v2txt/2-s2.0-85060025053.txt
2-s2.0-85060549676,full_text,69507,9,data/fulltext/v2txt/2-s2.0-85060549676.txt
2-s2.0-85065015834,full_text,133045,1,data/fulltext/v2txt/2-s2.0-85065015834.txt
2-s2.0-85065550941,full_text,23347,1,data/fulltext/v2txt/2-s2.0-85065550941.txt
2-s2.0-85065905229,full_text,31559,1,data/fulltext/v2txt/2-s2.0-85065905229.txt
2-s2.0-85066887935,full_text,44937,1,data/fulltext/v2txt/2-s2.0-85066887935.txt
2-s2.0-85066894147,full_text,113343,3,data/fulltext/v2txt/2-s2.0-85066894147.txt
2-s2.0-85066941307,full_text,93244,3,data/fulltext/v2txt/2-s2.0-85066941307.txt
2-s2.0-85069463611,full_text,109139,2,data/fulltext/v2txt/2-s2.0-85069463611.txt
2-s2.0-85072114698,full_text,27580,1,data/fulltext/v2txt/2-s2.0-85072114698.txt
2-s2.0-85073061780,full_text,113758,1,data/fulltext/v2txt/2-s2.0-85073061780.txt
2-s2.0-85074511992,full_text,126280,3,data/fulltext/v2txt/2-s2.0-85074511992.txt
2-s2.0-85074596916,full_text,81479,2,data/fulltext/v2txt/2-s2.0-85074596916.txt
2-s2.0-85075076652,full_text,58061,1,data/fulltext/v2txt/2-s2.0-85075076652.txt
2-s2.0-85076877757,full_text,44330,2,data/fulltext/v2txt/2-s2.0-85076877757.txt
2-s2.0-85078014559,full_text,73959,2,data/fulltext/v2txt/2-s2.0-85078014559.txt
2-s2.0-85079874634,full_text,27122,1,data/fulltext/v2txt/2-s2.0-85079874634.txt
2-s2.0-85081743293,full_text,77873,11,data/fulltext/v2txt/2-s2.0-85081743293.txt
2-s2.0-85083041268,full_text,43682,1,data/fulltext/v2txt/2-s2.0-85083041268.txt
2-s2.0-85083323285,full_text,39985,2,data/fulltext/v2txt/2-s2.0-85083323285.txt
2-s2.0-85083965254,full_text,79746,1,data/fulltext/v2txt/2-s2.0-85083965254.txt
2-s2.0-85084031148,full_text,57622,1,data/fulltext/v2txt/2-s2.0-85084031148.txt
2-s2.0-85085201199,full_text,49478,2,data/fulltext/v2txt/2-s2.0-85085201199.txt
2-s2.0-85085573221,full_text,47768,4,data/fulltext/v2txt/2-s2.0-85085573221.txt
2-s2.0-85086031086,full_text,78660,4,data/fulltext/v2txt/2-s2.0-85086031086.txt
2-s2.0-85086906408,full_text,37410,1,data/fulltext/v2txt/2-s2.0-85086906408.txt
2-s2.0-85088969117,full_text,46309,4,data/fulltext/v2txt/2-s2.0-85088969117.txt
2-s2.0-85089426034,full_text,87045,1,data/fulltext/v2txt/2-s2.0-85089426034.txt
2-s2.0-85089622030,full_text,52800,1,data/fulltext/v2txt/2-s2.0-85089622030.txt
2-s2.0-85089627303,full_text,41141,1,data/fulltext/v2txt/2-s2.0-85089627303.txt
2-s2.0-85090181268,full_text,66003,1,data/fulltext/v2txt/2-s2.0-85090181268.txt
2-s2.0-85090430198,full_text,7719,1,data/fulltext/v2txt/2-s2.0-85090430198.txt
2-s2.0-85091698994,full_text,53048,2,data/fulltext/v2txt/2-s2.0-85091698994.txt
2-s2.0-85092013677,full_text,27888,2,data/fulltext/v2txt/2-s2.0-85092013677.txt
2-s2.0-85092033301,full_text,68248,5,data/fulltext/txt/2-s2.0-85092033301.txt
2-s2.0-85092483799,full_text,43432,1,data/fulltext/v2txt/2-s2.0-85092483799.txt
2-s2.0-85093940530,full_text,67315,1,data/fulltext/v2txt/2-s2.0-85093940530.txt
2-s2.0-85095575703,full_text,56343,1,data/fulltext/v2txt/2-s2.0-85095575703.txt
2-s2.0-85095594211,full_text,31249,2,data/fulltext/v2txt/2-s2.0-85095594211.txt
2-s2.0-85096102360,full_text,75779,3,data/fulltext/v2txt/2-s2.0-85096102360.txt
2-s2.0-85096862559,full_text,67540,12,data/fulltext/v2txt/2-s2.0-85096862559.txt
2-s2.0-85097940672,full_text,36077,1,data/fulltext/v2txt/2-s2.0-85097940672.txt
2-s2.0-85099149423,full_text,90881,1,data/fulltext/v2txt/2-s2.0-85099149423.txt
2-s2.0-85099807131,full_text,23516,1,data/fulltext/v2txt/2-s2.0-85099807131.txt
2-s2.0-85100218180,full_text,65221,1,data/fulltext/v2txt/2-s2.0-85100218180.txt
2-s2.0-85102849802,full_text,69853,1,data/fulltext/v2txt/2-s2.0-85102849802.txt
2-s2.0-85105454127,full_text,94116,3,data/fulltext/v2txt/2-s2.0-85105454127.txt
2-s2.0-85105511315,full_text,86785,4,data/fulltext/v2txt/2-s2.0-85105511315.txt
2-s2.0-85106913853,full_text,48873,1,data/fulltext/v2txt/2-s2.0-85106913853.txt
2-s2.0-85107390682,full_text,48067,1,data/fulltext/v2txt/2-s2.0-85107390682.txt
2-s2.0-85107396751,full_text,24462,1,data/fulltext/v2txt/2-s2.0-85107396751.txt
2-s2.0-85108101418,full_text,30192,1,data/fulltext/v2txt/2-s2.0-85108101418.txt
2-s2.0-85108273495,full_text,13469,1,data/fulltext/v2txt/2-s2.0-85108273495.txt
2-s2.0-85108996494,full_text,60394,2,data/fulltext/v2txt/2-s2.0-85108996494.txt
2-s2.0-85109464429,full_text,70080,1,data/fulltext/v2txt/2-s2.0-85109464429.txt
2-s2.0-85111545521,full_text,67261,2,data/fulltext/v2txt/2-s2.0-85111545521.txt
2-s2.0-85114317455,full_text,81975,2,data/fulltext/v2txt/2-s2.0-85114317455.txt
2-s2.0-85115631663,full_text,71271,1,data/fulltext/v2txt/2-s2.0-85115631663.txt
2-s2.0-85115858008,full_text,47839,1,data/fulltext/v2txt/2-s2.0-85115858008.txt
2-s2.0-85117399204,full_text,69945,1,data/fulltext/v2txt/2-s2.0-85117399204.txt
2-s2.0-85118260096,full_text,32524,2,data/fulltext/v2txt/2-s2.0-85118260096.txt
2-s2.0-85121019757,full_text,38095,2,data/fulltext/v2txt/2-s2.0-85121019757.txt
2-s2.0-85121971415,full_text,85750,3,data/fulltext/v2txt/2-s2.0-85121971415.txt
2-s2.0-85122094954,full_text,22853,1,data/fulltext/v2txt/2-s2.0-85122094954.txt
2-s2.0-85122105134,full_text,74071,2,data/fulltext/v2txt/2-s2.0-85122105134.txt
2-s2.0-85122752247,full_text,59785,4,data/fulltext/v2txt/2-s2.0-85122752247.txt
2-s2.0-85123475265,full_text,45627,1,data/fulltext/v2txt/2-s2.0-85123475265.txt
2-s2.0-85124307830,full_text,113458,6,data/fulltext/v2txt/2-s2.0-85124307830.txt
2-s2.0-85124823821,full_text,31815,1,data/fulltext/v2txt/2-s2.0-85124823821.txt
2-s2.0-85125507154,full_text,43907,1,data/fulltext/v2txt/2-s2.0-85125507154.txt
2-s2.0-85127039075,full_text,42277,2,data/fulltext/v2txt/2-s2.0-85127039075.txt
2-s2.0-85127622287,full_text,92660,1,data/fulltext/v2txt/2-s2.0-85127622287.txt
2-s2.0-85128118104,full_text,76738,1,data/fulltext/v2txt/2-s2.0-85128118104.txt
2-s2.0-85128357498,full_text,73812,2,data/fulltext/v2txt/2-s2.0-85128357498.txt
2-s2.0-85129092713,full_text,55549,1,data/fulltext/v2txt/2-s2.0-85129092713.txt
2-s2.0-85129109345,full_text,70091,1,data/fulltext/v2txt/2-s2.0-85129109345.txt
