dimension,item_id,study_id,coder,coder_code,dataset_code,confidence,notes,quote
denom_class,E02,W4414446446,laura,CURATED_SAMPLE,POPULATION,3,"denominator class is difficult to decide: Talk shows is not news_diet, but it also does not include the whole media diet (no social media). Also not from consumer view, but source view: Why I picked curated_sample in the end. ","It finds 77 matches in 67 episodes, amounting to 4.85% of the 1382 episodes during the sampling period between June 2023 and June 2024."
denom_class,E03,2-s2.0-85159486270,laura,TOPICAL,CURATED_SAMPLE,4,presuming that nonfactual = false information in this context (the paper only talks about nonfactual),"Of the 100 videos, 70 contained nonfactual information regarding food safety techniques for washing fruits and vegetables or storing produce at room temperature."
denom_class,E04,2-s2.0-85159598935,laura,POLITICAL_NEWS,TOPICAL,2,"It is a concentration measurement, but not from the top slice of users but from swing versus non-swing states. Not sure if there may be a more overall measurement (not just swing versus non-swing states).","Considering links pointing to non-trustworthy news sites (N), the concentration for swing states - 23.47% - is higher than that for safe ones - 18.33%."
construct(part2),D07,OA-W7161796591,sacha,CONTENT,QUALITY,4,"it's not quality, it's content. videos not aligned with health guidelines is misinformation, they define it as such ","Overall, 26.19% aligned with at least one protocol, while 73.81% contained unsupported or non-aligned information"
construct(part2),D09,2-s2.0-85207525286,sacha,CONTENT,QUALITY,4,"(not sure what curated sample means, e.g., all the topical sample are curated, and many are top-N, but still what matters is that they are topical estimates no?)","Out of the 50 included #adhdtest videos, 92% (n = 46) were misleading. ... Out of the 50 selected videos, useful videos amounted to 8% (n = 4), while 92% (n = 46) were misleading videos."
construct(part2),E05,W7165134935,sacha,QUALITY,CONTENT,4,,"In total, (n = 58, 6.0%) TikToks included either broad or specific concerns around sunscreen health risks."
construct(part2),D06,2-s2.0-85164694763,laura,OTHER,SHARING,1,This study looks at too many things simoltaneously. It is very hard to infer what the actual key research is: construct would be most likely the relative velocity of anti-vax communities across boarders. ,26% of the domains shared by no-vax communities came from lists of known low-credibility domains versus only 2.4% of those cited by the other users (P<.001)
construct(part2),D09,2-s2.0-85207525286,laura,CONTENT,QUALITY,5,,"Out of the 50 included #adhdtest videos, 92% (n = 46) were misleading. ... Out of the 50 selected videos, useful videos amounted to 8% (n = 4), while 92% (n = 46) were misleading videos."
construct(part2),E04,2-s2.0-85159598935,laura,OTHER,CONTENT,2,"It is a concentration measurement, but not from the top slice of users but from swing versus non-swing states. Not sure if there may be a more overall measurement (not just swing versus non-swing states).","Considering links pointing to non-trustworthy news sites (N), the concentration for swing states - 23.47% - is higher than that for safe ones - 18.33%."
construct(part2),E11,2-s2.0-85187117251,laura,OTHER,CONTENT,3,construct: engagement of high versus low credibility tweets on covid-19 and cliamte change. How low credibility versus high crredibility tweets perform engagement-wise,low-credibility domains present in 3.77% of tweets on COVID-19 and 1.69% of tweets on climate change
construct(part2),E12,OA-W7125772788,laura,REACH,RECALL,1,"Honestly, still quite unsurree what they did in this study and what the actual unit of analysis was. I do not understand how the 282 respondents and the 7234 data points connect. ","In the case of HIV, 54% of respondents suspected misinformation in their digital feeds, often related to 'permanent cure' narratives"
value_pct,D12,PMID-42295743,sacha,18.1,31.7,5,share of videos on epilepsy that contain misinfo ,"TikTok 31.7% [24.7-38.8], Instagram Reels 16.8% [11.6-22.1], YouTube Shorts 8% [4.2-11.8] (Results 3.3)"
value_pct,E12,OA-W7125772788,sacha,NOT FOUND,54,5,,"In the case of HIV, 54% of respondents suspected misinformation in their digital feeds, often related to 'permanent cure' narratives"
value_pct,D06,2-s2.0-85164694763,laura,NOT FOUND,26,1,vaccine related twitter messages / users / communities ,26% of the domains shared by no-vax communities came from lists of known low-credibility domains versus only 2.4% of those cited by the other users (P<.001)
value_pct,D12,PMID-42295743,laura,18.1,31.7,5,"563 short form videos aboout epilepsy on Youtube, Tiktok and Instagram ","TikTok 31.7% [24.7-38.8], Instagram Reels 16.8% [11.6-22.1], YouTube Shorts 8% [4.2-11.8] (Results 3.3)"
value_pct,E03,2-s2.0-85159486270,laura,56,70,4,share of videos containing nonfactual information from the 66 youtube videos about produce washing during the pandemic,"Of the 100 videos, 70 contained nonfactual information regarding food safety techniques for washing fruits and vegetables or storing produce at room temperature."
value_pct,E06,2-s2.0-85168270535,laura,8.3,19.5,2,share of tweets containing earthquake misinformation from the 81862 tweets found via key words ,"Misinformation 698 19.5 [% Tweets] ... Not-misinformation 1328 37.1 ... Irrelevant 1558 43.4 [Table 1, manually labeled subset]"
value_pct,E07,2-s2.0-85181200454,laura,NOT FOUND,53.9,1,cannot answer this,Affirmative answers were summed to create binary measures that measured PME to information related to the COVID (Yes = 53.9%; Norway = 29.8% to Columbia = 72.3%)
value_pct,E09,2-s2.0-85184824168,laura,37.2,36.1,3,"share of tweets containing misinformation from a subsample of 3011 tweets from Nigera, Indonesia and Brazil that mention specific non-covid vaccines. ","Brazil ... # of Tweets Relevant to COVID-19 Vaccine Misinformation 1,304,827 ... (36.1)"
value_pct,E11,2-s2.0-85187117251,laura,NOT FOUND,3.77,3,no share mentioned,low-credibility domains present in 3.77% of tweets on COVID-19 and 1.69% of tweets on climate change
value_pct,E12,OA-W7125772788,laura,40.0,54,1,share of the 282 respondents that got unverified cures for HIV ,"In the case of HIV, 54% of respondents suspected misinformation in their digital feeds, often related to 'permanent cure' narratives"
